Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
0.86,-0.0147,-0.005,0.0165,-0.0094,0.0042,-0.0032
0.87,-0.0148,-0.0051,0.0167,-0.0095,0.0043,-0.0032
0.88,-0.015,-0.0051,0.0169,-0.0097,0.0043,-0.0033
0.89,-0.0152,-0.0052,0.0171,-0.0097,0.0044,-0.0033
0.9,-0.0153,-0.0052,0.0173,-0.0098,0.0044,-0.0033
0.91,-0.0155,-0.0053,0.0175,-0.0099,0.0045,-0.0034
0.92,-0.0156,-0.0054,0.0176,-0.01,0.0045,-0.0034
0.93,-0.0158,-0.0054,0.0178,-0.0101,0.0046,-0.0034
0.94,-0.016,-0.0055,0.018,-0.0102,0.0046,-0.0035
0.95,-0.0161,-0.0055,0.0182,-0.0103,0.0046,-0.0035
0.96,-0.0163,-0.0056,0.0183,-0.0104,0.0046,-0.0035
0.97,-0.0164,-0.0056,0.0185,-0.0105,0.0047,-0.0036
0.98,-0.0165,-0.0057,0.0186,-0.0105,0.0047,-0.0036
0.99,-0.0166,-0.0057,0.0188,-0.0106,0.0047,-0.0036
1.0,-0.0168,-0.0057,0.0189,-0.0107,0.0048,-0.0036
1.01,-0.0169,-0.0058,0.0191,-0.0108,0.0048,-0.0037
1.02,-0.017,-0.0058,0.0192,-0.0108,0.0048,-0.0037
1.03,-0.0171,-0.0059,0.0193,-0.0109,0.0049,-0.0037
1.04,-0.0173,-0.0059,0.0195,-0.011,0.0049,-0.0037
1.05,-0.0174,-0.006,0.0196,-0.0111,0.0049,-0.0038
1.06,-0.0175,-0.006,0.0198,-0.0111,0.005,-0.0038
1.07,-0.0175,-0.006,0.0198,-0.0111,0.0049,-0.0038
1.08,-0.0177,-0.0061,0.02,-0.0112,0.005,-0.0039
1.09,-0.0177,-0.0061,0.02,-0.0112,0.005,-0.0039
1.1,-0.0178,-0.0061,0.0202,-0.0113,0.005,-0.0039
1.11,-0.0179,-0.0062,0.0203,-0.0113,0.005,-0.0039
1.12,-0.018,-0.0062,0.0203,-0.0114,0.005,-0.0039
1.13,-0.0181,-0.0062,0.0205,-0.0115,0.0051,-0.0039
1.14,-0.0183,-0.0063,0.0206,-0.0115,0.0051,-0.004
1.15,-0.0184,-0.0063,0.0208,-0.0116,0.0052,-0.004
1.16,-0.0183,-0.0063,0.0207,-0.0116,0.0051,-0.004
1.17,-0.0185,-0.0064,0.0209,-0.0117,0.0052,-0.004
1.18,-0.0184,-0.0063,0.0208,-0.0116,0.0051,-0.004
1.19,-0.0185,-0.0064,0.0209,-0.0117,0.0052,-0.004
1.2,-0.0185,-0.0064,0.021,-0.0117,0.0052,-0.004
1.21,-0.0187,-0.0064,0.0211,-0.0118,0.0052,-0.0041
1.22,-0.0188,-0.0065,0.0213,-0.0118,0.0053,-0.0041
1.23,-0.0189,-0.0065,0.0213,-0.0119,0.0052,-0.0041
1.24,-0.0188,-0.0065,0.0213,-0.0118,0.0052,-0.0041
1.25,-0.0188,-0.0065,0.0213,-0.0118,0.0052,-0.0041
1.26,-0.0188,-0.0065,0.0213,-0.0118,0.0052,-0.0041
1.27,-0.0189,-0.0065,0.0214,-0.0119,0.0052,-0.0042
1.28,-0.0189,-0.0065,0.0214,-0.0119,0.0052,-0.0042
1.29,-0.019,-0.0066,0.0216,-0.012,0.0053,-0.0042
1.3,-0.019,-0.0066,0.0215,-0.0119,0.0052,-0.0042
1.31,-0.019,-0.0066,0.0215,-0.0119,0.0052,-0.0042
1.32,-0.019,-0.0066,0.0215,-0.0119,0.0052,-0.0042
1.33,-0.0189,-0.0065,0.0214,-0.0119,0.0052,-0.0042
1.34,-0.0191,-0.0066,0.0216,-0.012,0.0053,-0.0042
1.35,-0.0191,-0.0066,0.0216,-0.012,0.0052,-0.0042
1.36,-0.0191,-0.0066,0.0216,-0.012,0.0052,-0.0042
1.37,-0.019,-0.0066,0.0215,-0.0119,0.0052,-0.0042
1.38,-0.019,-0.0066,0.0215,-0.0119,0.0052,-0.0042
1.39,-0.0191,-0.0066,0.0216,-0.0119,0.0052,-0.0042
1.4,-0.0189,-0.0065,0.0214,-0.0118,0.0051,-0.0042
1.41,-0.019,-0.0066,0.0215,-0.0119,0.0052,-0.0042
1.42,-0.0188,-0.0065,0.0213,-0.0117,0.0051,-0.0042
1.43,-0.0188,-0.0065,0.0213,-0.0117,0.0051,-0.0042
1.44,-0.0186,-0.0065,0.0211,-0.0116,0.005,-0.0042
1.45,-0.0188,-0.0065,0.0213,-0.0118,0.0051,-0.0042
1.46,-0.0187,-0.0065,0.0212,-0.0116,0.005,-0.0042
1.47,-0.0186,-0.0065,0.0211,-0.0116,0.005,-0.0042
1.48,-0.0186,-0.0065,0.0212,-0.0116,0.0051,-0.0042
1.49,-0.0183,-0.0064,0.0207,-0.0114,0.0048,-0.0041
1.5,-0.0184,-0.0064,0.0209,-0.0115,0.005,-0.0042
