Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
0,0,0,0,0,0,0
0.03,0.0,0.0,1e-04,-1e-04,0.0,-0.0
0.04,0.0,0.0,1e-04,-1e-04,0.0,-0.0
0.05,0.0,0.0,1e-04,-1e-04,0.0,-0.0
0.06,0.0,0.0,1e-04,-1e-04,0.0,0.0
0.07,-0.0,0.0,0.0,-0.0,0.0,1e-04
0.08,-0.0,0.0,-0.0,-0.0,0.0,1e-04
0.09,-1e-04,0.0,-1e-04,-0.0,0.0,0.0002
0.1,-1e-04,0.0,-1e-04,0.0,1e-04,0.0002
0.11,-1e-04,0.0,-0.0002,0.0,1e-04,0.0002
0.12,-0.0002,0.0,-0.0003,1e-04,1e-04,0.0003
0.13,-0.0002,-0.0,-0.0003,1e-04,1e-04,0.0004
0.14,-0.0002,-0.0,-0.0004,1e-04,1e-04,0.0004
0.15,-0.0002,-0.0,-0.0004,1e-04,1e-04,0.0005
0.03,-0.0004,-0.0,-0.0006,0.0002,0.0002,0.0006
0.16,-0.0003,-0.0,-0.0005,1e-04,1e-04,0.0005
0.17,-0.0003,-0.0,-0.0005,1e-04,1e-04,0.0006
0.18,-0.0003,-0.0,-0.0006,0.0002,1e-04,0.0006
0.19,-0.0003,-0.0,-0.0006,0.0002,1e-04,0.0006
0.2,-0.0004,-0.0,-0.0007,0.0002,0.0002,0.0007
0.04,-0.0002,-0.0,-0.0006,0.0002,1e-04,0.0007
0.21,-0.0004,-0.0,-0.0007,0.0002,0.0002,0.0007
0.22,-0.0004,-0.0,-0.0008,0.0002,0.0002,0.0008
0.23,-0.0004,-0.0,-0.0008,0.0002,0.0002,0.0008
0.24,-0.0004,-0.0,-0.0009,0.0003,0.0002,0.0008
0.25,-0.0005,-0.0,-0.0009,0.0003,0.0002,0.0009
0.05,-0.0007,-0.0,-0.0012,0.0003,0.0003,0.001
0.26,-0.0005,-0.0,-0.0009,0.0003,0.0002,0.0009
0.27,-0.0005,-0.0,-0.001,0.0003,0.0002,0.001
0.28,-0.0005,-0.0,-0.001,0.0003,0.0002,0.001
0.29,-0.0006,-0.0,-0.0011,0.0003,0.0002,0.001
0.3,-0.0006,-0.0,-0.0011,0.0003,0.0002,0.0011
0.06,-0.0004,-0.0,-0.0009,0.0003,0.0002,0.0011
0.31,-0.0006,-0.0,-0.0011,0.0003,0.0003,0.0011
0.32,-0.0006,-0.0,-0.0012,0.0004,0.0003,0.0011
0.33,-0.0006,-0.0,-0.0012,0.0004,0.0003,0.0012
0.34,-0.0007,-0.0,-0.0013,0.0004,0.0003,0.0012
0.35,-0.0007,-0.0,-0.0013,0.0004,0.0003,0.0013
0.07,-0.0009,-0.0,-0.0016,0.0004,0.0003,0.0013
0.36,-0.0007,-0.0,-0.0014,0.0004,0.0003,0.0013
0.37,-0.0007,-0.0,-0.0014,0.0004,0.0003,0.0014
