Index,X,Y,Z
0,-11.0,1.3471114790620886e-15,0.0
1,-10.855398715443382,-1.7281109536931922,0.10050251256281408
2,-10.441204939272284,-3.4107861296895616,0.20100502512562815
3,-9.768101314510162,-5.006267902339226,0.30150753768844224
4,-8.85319059696307,-6.475026021248906,0.4020100502512563
5,-7.719561289464112,-7.780737013227586,0.5025125628140704
6,-6.395705106884525,-8.891182459756898,0.6030150753768845
7,-4.914800966587474,-9.77904393635602,0.7035175879396985
8,-3.313883496045467,-10.422575001204804,0.8040201005025126
9,-1.632916894342704,-10.80613370523155,0.9045226130653267
10,0.08620269284263907,-10.920562587170377,1.0050251256281408
11,1.8006913814337346,-10.76340692746003,1.105527638190955
12,3.4679423148825403,-10.338966069096815,1.206030150753769
13,5.046584488926185,-9.658176771045333,1.306532663316583
14,6.49750932229129,-8.738331737009524,1.407035175879397
15,7.784839500388721,-7.60264055538967,1.5075376884422111
16,8.876816091039007,-6.279644193458385,1.6080402010050252
17,9.746581997826434,-4.802497813307655,1.7085427135678393
18,10.372842425560224,-3.208139929243989,1.8090452261306533
19,10.740386117871763,-1.5363687257263683,1.9095477386934674
20,10.8404546117958,0.17115136729409164,2.0100502512562817
21,10.670950551047923,1.871928044532824,2.1105527638190957
22,10.236480113770396,3.523698562647898,2.21105527638191
23,9.54822874165797,5.085479929910614,2.311557788944724
24,8.623673502715313,6.51858575205959,2.412060301507538
25,7.486139476354829,7.78758450510233,2.512562814070352
26,6.164211416393996,8.861175498771242,2.613065326633166
27,4.691015528893914,9.712960875217087,2.71356783919598
28,3.1033894090689627,10.322094603742709,2.814070351758794
29,1.4409609354985873,10.673792518113464,2.9145728643216082
30,-0.2548408472232022,10.75969092082597,3.0150753768844223
31,-1.9418181692100236,10.578045061631782,3.1155778894472363
32,-3.578054570335687,10.133762791099523,3.2160804020100504
33,-5.1229564009066895,9.438272794462302,3.3165829145728645
34,-6.538259909751913,8.50923092422763,3.4170854271356785
35,-7.788978935030578,7.3700721697478535,3.5175879396984926
36,-8.84426972640165,6.049419628357445,3.6180904522613067
37,-9.678191521841887,4.580365380930454,3.7185929648241207
38,-10.27034412541401,2.9996413372514623,3.819095477386935
39,-10.606366817680126,1.3467008253511001,3.919597989949749
40,-10.678286400837566,-0.3372661127457152,4.020100502512563
41,-10.484705949176076,-2.0103591422133396,4.120603015075377
42,-10.030829807983263,-3.6310101961040266,4.2211055276381915
43,-9.328324461492372,-5.15901623460773,4.3216080402010055
44,-8.39501897134258,-6.556536544001381,4.42211055276382
45,-7.254452669841899,-7.789029835902129,4.522613065326634
46,-5.935281578209825,-8.826107940635751,4.623115577889448
47,-4.470558515096113,-9.642284996392231,4.723618090452262
48,-2.8969049785574668,-10.217603665108316,4.824120603015076
49,-1.2535955483664816,-10.538122990548965,4.92462311557789
50,0.4184223005248112,-10.596255976492715,5.025125628140704
51,2.0775485108735845,-10.39094871661545,5.125628140703518
52,3.6825654587258407,-9.927696858854729,5.226130653266332
53,5.193661920350015,-9.218399237193431,5.326633165829146
54,6.573420552207849,-8.28105255208415,5.42713567839196
55,7.787744390628751,-7.139294926496748,5.527638190954774
56,8.806699430359961,-5.821809909864051,5.628140703517588
57,9.605252461693922,-4.361605954205023,5.728643216080402
58,10.163885980853712,-2.7951894600362057,5.8291457286432165
59,10.469075071471343,-1.1616521084928053,5.9296482412060305
60,10.513614608995203,0.49830470405733024,6.030150753768845
61,10.296788878285204,2.1433839831439028,6.130653266331659
62,9.82437962412497,3.7327205373808283,6.231155778894473
63,9.108512576917937,5.226896103662596,6.331658291457287
64,8.167346511289706,6.58891697985689,6.432160804020101
65,7.024612803869331,7.785129918410023,6.532663316582915
66,5.709017161152502,8.786053605554509,6.633165829145729
67,4.253518597259317,9.567105183455539,6.733668341708543
68,2.694503770281524,10.10920391278715,6.834170854271357
69,1.070877360032279,10.399237154488805,6.934673366834171
70,-0.5769087739450455,10.430377294544588,7.035175879396985
71,-2.2078634276246265,10.202241958351987,7.135678391959799
72,-3.781475771433069,9.720893768629356,7.236180904522613
73,-5.258721585803134,8.998679895426378,7.336683417085427
74,-6.6030310198253535,8.053915629202693,7.437185929648241
75,-7.781193873826277,6.910420079133128,7.5376884422110555
76,-8.764179996196217,5.596915762705092,7.63819095477387
77,-9.527854529008339,4.146307218513947,7.738693467336684
78,-10.053570381762938,2.5948567587066664,7.839195979899498
79,-10.328623391444834,0.9812780071439767,7.939698492462312
80,-10.346559062788293,-0.6542301181515702,8.040201005025127
81,-10.107323489244834,-2.270984873573208,8.14070351758794
82,-9.617254940076613,-3.8288316601940453,8.241206030150755
83,-8.88891656539298,-5.28914132327983,8.341708542713569
84,-7.940774620072178,-6.615768011674193,8.442211055276383
85,-6.796730441206566,-7.775943845919802,8.542713567839197
86,-5.485518036838077,-8.74108825115113,8.643216080402011
87,-4.039982466553617,-9.487511966037875,8.743718592964825
88,-2.4962571348325113,-9.996998387954896,8.84422110552764
89,-0.8928606033609059,-10.257247990492461,8.944723618090453
90,0.7302645022444394,-10.262174975271861,9.045226130653267
91,2.3327465108995,-10.012049010086669,9.145728643216081
92,3.8747888626709965,-9.513478767500725,9.246231155778895
93,5.318158427359376,-8.779237915916502,9.34673366834171
94,6.627133440928234,-7.827938130759688,9.447236180904524
95,7.769387557264431,-6.683557489490524,9.547738693467338
96,8.716788137056959,-5.374836196453888,9.648241206030152
97,9.44608906130731,-3.934554863382125,9.748743718592966
98,9.939501009452382,-2.398713467588926,9.84924623115578
99,10.185125214597882,-0.805631551121165,9.949748743718594
100,10.177240123887495,0.8050078496226261,10.050251256281408
101,9.916434065126426,2.3931466901462795,10.150753768844222
102,9.409580859715593,3.919348197301218,10.251256281407036
103,8.669659231036057,5.345776163561302,10.35175879396985
104,7.715420739353141,6.637132938343262,10.452261306532664
105,6.570914732614964,7.7615328630236515,10.552763819095478
106,5.264882343951473,8.691289537195821,10.653266331658292
107,3.8300348035239615,9.403597479372658,10.753768844221106
108,2.3022341846299583,9.881091400850169,10.85427135678392
109,0.7195971013133626,10.112269380040209,10.954773869346734
110,-0.8784562417294559,10.091769629320988,11.055276381909549
111,-2.452183922455148,9.820494202171858,11.155778894472363
112,-3.9625106416714733,9.30557680377293,11.256281407035177
113,-5.371997951138303,8.560195748252392,11.35678391959799
114,-6.645772279160189,7.603236953788336,11.457286432160805
115,-7.752387749997072,6.458815587195082,11.557788944723619
116,-8.664602450356865,5.155668470148083,11.658291457286433
117,-9.360048981290104,3.7264325531381686,11.758793969849247
118,-9.821782791832481,2.2068275716620502,11.859296482412061
119,-10.038694854907456,0.6347633528362173,11.959798994974875
120,-10.005778639497233,-0.9506059182506408,12.06030150753769
121,-9.724244971023348,-2.509856879517338,12.160804020100503
122,-9.201482163423222,-4.004277332223247,12.261306532663317
123,-8.450862657054442,-5.396827362542993,12.361809045226131
124,-7.491401210477955,-6.653057382346479,12.462311557788945
125,-6.347273376596513,-7.741960335655842,12.56281407035176
126,-5.04720645321182,-8.636736989689336,12.663316582914574
127,-3.623758249144886,-9.31545542331535,12.763819095477388
128,-2.1125017717863566,-9.761588485751107,12.864321608040202
129,-0.5511362521726602,-9.964416057588945,12.964824120603016
130,1.0214532772978007,-9.919282328024407,13.06532663316583
131,2.5661643935102982,-9.627701921908578,13.165829145728644
132,4.044649563943602,-9.09731247758005,13.266331658291458
