Fiber 2_right: Idx,x (mm),y (mm),z (mm),Cutting plane x
0,1.1,-10.864028178380462,1.0323134969937124,1.1
1,1.522046316833698,-10.8127067860594,1.0445142885628542,1.1
2,3.1109112141394406,-10.462953516509431,1.0919922107702569,1.1
3,4.629649107609915,-9.881166568636504,1.1394701329776593,1.1
4,6.044592091297492,-9.08041715557264,1.1869480551850617,1.1
5,7.324399089774457,-8.07862858427036,1.2344259773924642,1.1
6,8.440750060422134,-6.898175100174791,1.2819038995998666,1.1
7,9.368972662019475,-5.565382190528514,1.329381821807269,1.1
8,10.088587522822717,-4.109939505956546,1.3768597440146717,1.1
9,10.583760057782397,-2.5642394923927294,1.4243376662220741,1.1
10,10.843648867303788,-0.9626564658702096,1.4718155884294766,1.1
11,10.862643052603234,0.6592178250159365,1.519293510636879,1.1
12,10.640483253977392,2.2653651489696127,1.5667714328442814,1.1
13,10.182263803206734,3.8201406770327857,1.6142493550516839,1.1
14,9.498316022395526,5.289064039129987,1.6617272772590863,1.1
15,8.60397534013506,6.639583996410026,1.709205199466489,1.1
16,7.519237473388561,7.841799771249715,1.7566831216738914,1.1
17,6.26831138275153,8.86912305043857,1.8041610438812938,1.1
18,4.8790789952244,9.698866004925902,1.8516389660886963,1.1
19,3.3824737516973444,10.312742321867814,1.8991168882960987,1.1
20,1.811791830340499,10.697270184655437,1.9465948105035011,1.1
21,1.1,10.788877668202774,1.9667351968587106,1.1
22,1.1,8.834741083390591,2.063605951416438,1.1
23,1.1,6.8806044985784105,2.1604767059741654,1.1
24,1.1,4.9264679137662295,2.257347460531893,1.1
25,1.1,2.972331328954047,2.3542182150896203,1.1
26,1.1,1.018194744141864,2.4510889696473477,1.1
27,1.1,-0.9359418406703153,2.547959724205075,1.1
28,1.1,-2.8900784254824985,2.6448304787628025,1.1
29,1.1,-4.844215010294681,2.74170123332053,1.1
30,1.1,-6.798351595106862,2.8385719878782574,1.1
31,1.1,-8.752488179919046,2.935442742435985,1.1
32,1.1,-10.706624764731226,3.032313496993712,1.1
33,1.3018209012997661,-10.68625188673127,3.038587021273758,1.1
34,2.874404964324541,-10.37061015911829,3.0860649434811607,1.1
35,4.382108368298986,-9.824965855017576,3.133542865688563,1.1
36,5.791505406313207,-9.061588639509194,3.1810207878959655,1.1
37,7.071375508707135,-8.097573377498835,3.2284987101033678,1.1
38,8.19339482820104,-6.954457342685834,3.2759766323107704,1.1
39,9.132763046341614,-5.657739066193918,3.3234545545181726,1.1
40,9.868751530208824,-4.236309573593022,3.3709324767255753,1.1
41,10.3851607238463,-2.721808696726129,3.418410398932978,1.1
42,10.670676682171917,-1.1479208014706526,3.46588832114038,1.1
43,10.719118901091944,0.45037439222983416,3.513366243347783,1.1
44,10.529574016169704,2.0375792354598126,3.560844165555185,1.1
45,10.106412479672453,3.57846654227311,3.6083220877625877,1.1
46,9.459187925724144,5.03886143853743,3.6558000099699903,1.1
47,8.60242153786351,6.386399314963679,3.7032779321773925,1.1
48,7.55527628471967,7.591243073961237,3.750755854384795,1.1
49,6.341128331163941,8.626743775150107,3.7982337765921974,1.1
50,4.987045210044901,9.470030051807766,3.8457116987996,1.1
51,3.5231824030084162,10.102513261853337,3.8931896210070023,1.1
52,1.9821117822823529,10.510297216623737,3.940667543214405,1.1
53,1.1,10.631474254553538,3.9667351968587106,1.1
54,1.1,8.705956472223036,4.063605951416438,1.1
55,1.1,6.7804386898925335,4.160476705974165,1.1
56,1.1,4.854920907562031,4.257347460531893,1.1
57,1.1,2.9294031252315285,4.35421821508962,1.1
58,1.1,1.0038853429010262,4.451088969647348,1.1
59,1.1,-0.9216324394294757,4.547959724205075,1.1
60,1.1,-2.8471502217599785,4.6448304787628025,1.1
61,1.1,-4.772668004090481,4.74170123332053,1.1
62,1.1,-6.698185786420984,4.838571987878257,1.1
63,1.1,-8.623703568751488,4.935442742435985,1.1
64,1.1,-10.549221351081988,5.032313496993712,1.1
65,2.6424305032405577,-10.273138651088152,5.080137676192064,1.1
66,4.138287555541903,-9.763021649859201,5.1276155983994665,1.1
67,5.541244524793204,-9.0365286792153,5.175093520606869,1.1
68,6.82022117562948,-8.109936948090848,5.222571442814272,1.1
69,7.946911063962259,-7.003954480684074,5.270049365021674,1.1
70,8.896408011083825,-5.743257339931232,5.317527287229076,1.1
71,9.647756658753778,-4.355939081182894,5.365005209436479,1.1
72,10.184414935414313,-2.872884719022315,5.4124831316438815,1.1
73,10.494618227709042,-1.3270831575001973,5.459961053851284,1.1
74,10.57163724072426,0.24710660946404073,5.507438976058687,1.1
75,10.413923896072655,1.8147192050465688,5.554916898266089,1.1
