Fiber 1: Spring Idx,x (mm),y (mm),z (mm)
0,1.3471114790620886e-15,-11.0,0.0
1,-0.8193260647923173,-10.965766032906334,0.04747792220740247
2,-1.6335521693745538,-10.870610562178015,0.09495584441480494
3,-2.438156317802022,-10.715103086629851,0.14243376662220741
4,-3.228673010572398,-10.500148169778637,0.18991168882960988
5,-4.000718027779987,-10.226980188446927,0.23738961103701234
6,-4.7500127439388615,-9.897156251576382,0.28486753324441483
7,-5.472407839625961,-9.512547329834025,0.33234545545181726
8,-6.163906278538307,-9.075327646514202,0.37982337765921975
9,-6.82068542272973,-8.587962389870588,0.42730129986662224
10,-7.439118163668313,-8.053193816303827,0.4747792220740247
11,-8.015792952308523,-7.474025822729219,0.5222571442814271
12,-8.54753261757045,-6.853707074906503,0.5697350664888297
13,-9.031411869427675,-6.195712786483155,0.6172129886962321
14,-9.464773390187084,-5.503725250940132,0.6646909109036345
15,-9.845242425456522,-4.781613235493205,0.7121688331110371
16,-10.17073979469582,-4.0334103522566105,0.7596467553184395
17,-10.439493250085729,-3.263292527583968,0.8071246775258419
18,-10.650047121678906,-2.4755546954337952,0.8546025997332445
19,-10.801270196365103,-1.6745868448363546,0.9020805219406469
20,-10.892361788036139,-0.8648495550420181,0.9495584441480494
21,-10.922855966420117,-0.05084915468987844,0.9970363663554519
22,-10.892623922311888,0.7628873566659915,1.0445142885628542
23,-10.801874457301777,1.57183748510686,1.0919922107702569
24,-10.65115259653841,2.3715083769588703,1.1394701329776593
25,-10.441336333496578,3.157461771771486,1.1869480551850617
26,-10.173631526099383,3.9253386350779693,1.2344259773924642
27,-9.849564973807464,4.670883334224153,1.2819038995998666
28,-9.470975715380451,5.389967223183644,1.329381821807269
29,-9.04000459688033,6.078611505653165,1.3768597440146717
30,-8.559082169068935,6.73300924982157,1.4243376662220741
31,-8.030914982599002,7.349546433007094,1.4718155884294766
32,-7.458470358258902,7.924821899832284,1.519293510636879
33,-6.844959717956469,8.455666123723944,1.5667714328442814
34,-6.193820570070591,8.939158668252007,1.6142493550516839
35,-5.508697250216613,9.372644252118477,1.6617272772590863
36,-4.793420525322239,9.753747329434765,1.709205199466489
37,-4.0519861751570705,10.08038510523873,1.7566831216738914
38,-3.2885326710659073,10.3507789149554,1.8041610438812938
39,-2.5073180765945153,10.563463905648073,1.8516389660886963
40,-1.712696298937557,10.717296966388991,1.8991168882960987
41,-0.909092823660464,10.811462864847467,1.9465948105035011
42,-0.10098006793011241,10.845478557193918,1.9940727327109038
43,0.7071475104813719,10.819195648595205,2.0415506549183062
44,1.510798409890352,10.732800991872868,2.0890285771257084
45,2.30550904806961,10.586815422254247,2.136506499333111
46,3.086868553546293,10.382090636509528,2.1839844215405138
47,3.8505432471360046,10.119804235077446,2.231462343747916
48,4.592300677834238,9.801452955981956,2.2789402659553186
49,5.308033079755585,9.428844139374485,2.326418188162721
50,5.9937801201198075,9.00408547134624,2.3738961103701235
51,6.645750812312684,8.529573065187765,2.4213740325775257
52,7.260344472776767,8.007977947475531,2.4688519547849284
53,7.83417060588382,7.4422310251877795,2.516329876992331
54,8.364067606979537,6.835506618443729,2.5638077991997332
55,8.847120180434572,6.191204651377173,2.611285721407136
56,9.280675376749684,5.5129316010519736,2.658763643614538
57,9.66235716050439,4.8044803111634335,2.7062415658219408
58,9.990079429165526,4.069808783507812,2.7537194880293434
59,10.262057411438093,3.313018065808239,2.8011974102367456
60,10.47681738289743,2.538329359428168,2.8486753324441483
61,10.633204646038267,1.7500604747563053,2.8961532546515505
62,10.730389731560383,0.9526017655865247,2.943631176858953
63,10.767872787628129,0.15039167662330666,2.9911090990663554
64,10.7454861339368,-0.652107959697261,3.038587021273758
65,10.663394967636613,-1.450436739579904,3.0860649434811607
66,10.522096218447638,-2.2401604794092633,3.133542865688563
67,10.322415560589729,-3.0168958446609038,3.1810207878959655
68,10.06550259939256,-3.7763346793872166,3.2284987101033678
69,9.752824260585784,-4.514267901239114,3.2759766323107704
70,9.386156420241733,-5.226608829491137,3.3234545545181726
