Fiber 1_left: Idx,x (mm),y (mm),z (mm),Cutting plane x
0,-1.0,-10.948013738554142,0.030257464567057087,-1
1,-2.4397767745679295,-10.72037588148319,0.07122875872936468,-1
2,-4.755512279700466,-9.9067200938645,0.14245751745872937,-1
3,-6.831911552264004,-8.600120666229081,0.21368627618809405,-1
4,-8.565723964499218,-6.86619365640866,0.28491503491745873,-1
5,-9.870877404381861,-4.791788144644491,0.3561437936468234,-1
6,-10.682751091044269,-2.4806362157758968,0.4273725523761881,-1
7,-10.961374917258098,-0.04816580541736501,0.4986013111055528,-1
8,-10.69339692931087,2.384264206739001,0.5698300698349175,-1
9,-9.892722113918134,4.695418736012569,0.6410588285642822,-1
10,-8.599791985839254,6.770228986150608,0.7122875872936468,-1
11,-6.879542247931475,8.50552153245211,0.7835163460230115,-1
12,-4.818141647651554,9.815148753801603,0.8547451047523762,-1
13,-2.5186758000463603,10.634265498232628,0.9259738634817409,-1
14,-1.0,10.876636190346858,0.9700187170027125,-1
15,-1.0,9.209924919942877,1.0515755437384313,-1
16,-1.0,7.5432136495388935,1.13313237047415,-1
17,-1.0,5.876502379134912,1.2146891972098688,-1
18,-1.0,4.20979110873093,1.2962460239455877,-1
19,-1.0,2.543079838326949,1.3778028506813067,-1
20,-1.0,0.8763685679229667,1.4593596774170254,-1
21,-1.0,-0.7903427024810163,1.5409165041527442,-1
22,-1.0,-2.4570539728849976,1.622473330888463,-1
23,-1.0,-4.123765243288978,1.7040301576241816,-1
24,-1.0,-5.790476513692961,1.7855869843599008,-1
25,-1.0,-7.457187784096943,1.8671438110956196,-1
26,-1.0,-9.123899054500924,1.9487006378313383,-1
27,-1.0,-10.790610324904906,2.030257464567057,-1
28,-2.219438233297182,-10.610787164967203,2.0656340031515756,-1
29,-4.5164361956425525,-9.848717704765846,2.1368627618809404,-1
30,-6.586001265561409,-8.596558045745496,2.208091520610305,-1
31,-8.325215435585896,-6.917214611521434,2.27932027933967,-1
32,-9.647730382068946,-4.894821364782131,2.3505490380690346,-1
33,-10.488054395624447,-2.630524845093163,2.4217777967983993,-1
34,-10.804795411610547,-0.23742554205643004,2.493006555527764,-1
35,-10.582699559563943,2.1650714020287944,2.564235314257129,-1
36,-9.833384849183094,4.457213982004499,2.635464072986493,-1
37,-8.594734751394341,6.524872344872505,2.706692831715858,-1
38,-6.928983264279235,8.26522150566933,2.7779215904452226,-1
39,-4.919588242306841,9.591854812906375,2.8491503491745873,-1
40,-2.667050065785622,10.439073873870976,2.920379107903952,-1
41,-1.0,10.719232776697622,2.9700187170027124,-1
42,-1.0,9.07673741608583,3.0515755437384313,-1
43,-1.0,7.434242055474039,3.13313237047415,-1
44,-1.0,5.791746694862246,3.214689197209869,-1
45,-1.0,4.149251334250456,3.2962460239455877,-1
46,-1.0,2.506755973638665,3.3778028506813067,-1
47,-1.0,0.8642606130268726,3.4593596774170257,-1
48,-1.0,-0.7782347475849205,3.5409165041527446,-1
49,-1.0,-2.420730108196711,3.622473330888463,-1
50,-1.0,-4.0632254688085006,3.7040301576241816,-1
51,-1.0,-5.705720829420294,3.785586984359901,-1
52,-1.0,-7.348216190032087,3.86714381109562,-1
