Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
0,0,0,0,0,0,0
0.02,0.0014657329,0.0011517708,-0.0011349993,-0.0004736087,0.00093925896,0.00018648562
0.03,0.0028985902,0.002215487,-0.0022165654,-0.00092919864,0.0018629079,0.00035745214
0.04,0.004115841,0.0031143937,-0.0031320679,-0.001314461,0.0026485599,0.00050079415
0.05,0.005302672,0.0039855884,-0.0040217936,-0.0016881378,0.0034144786,0.0006382816
0.06,0.0063473745,0.004748066,-0.004803241,-0.0020155027,0.0040873988,0.0007568125
0.07,0.007311742,0.005448018,-0.0055228425,-0.0023158768,0.0047085844,0.000864604
0.08,0.0082970485,0.0061589787,-0.006255776,-0.0026204744,0.0053439536,0.0009735229
0.09,0.009312285,0.0068897307,-0.007009471,-0.002933143,0.0059987307,0.001084594
