Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
0,0,0,0,0,0,0
0.02,-0.0007960163,-0.00039554792,2.9387195e-07,0.000156194,0.0008755984,-0.0005415492
0.03,-0.0016238478,-0.0007409057,6.54717e-07,0.00030142828,0.0017831568,-0.0010502486
0.04,-0.0023207534,-0.0010329928,9.614904e-07,0.00042383015,0.0025505838,-0.0014793178
0.05,-0.0029949606,-0.0013163366,1.2611381e-06,0.00054226135,0.0032960905,-0.0018948008
0.06,-0.0035838755,-0.0015643019,1.5252707e-06,0.0006456841,0.0039497335,-0.0022579122
0.07,-0.0041223285,-0.0017924352,1.7678411e-06,0.0007404896,0.0045521436,-0.0025909217
0.08,-0.0046671033,-0.002024917,2.0140005e-06,0.0008367217,0.005167259,-0.0029290728
0.09,-0.0052241613,-0.0022638815,2.2668416e-06,0.00093532266,0.005800838,-0.0032757244
