Sim_step,cost,reward
0,0,0
0.02,0.006315875616042376,0.0
0.03,0.006315874624725627,0.0
0.04,0.0063158694435362355,0.0
0.05,0.006315862328206844,0.0
0.06,0.0063158544392975845,0.0
0.07,0.0063158466958656975,0.0
0.08,0.00631584004352087,0.0
0.09,0.006315835561018401,0.0
