Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
0,0,0,0,0,0,0
0.02,-0.000391967,-0.0016738379,-0.0002879488,0.0019052369,-8.59528e-05,0.0010956835
0.03,-0.0007774117,-0.0033920049,-0.00056961074,0.0038641864,-0.00013297306,0.0022121528
0.04,-0.0011078481,-0.004843537,-0.0007997918,0.005520909,-0.00016866748,0.0031564587
0.05,-0.0014325575,-0.0062539713,-0.0010173331,0.0071319193,-0.00019913615,0.0040747905
0.06,-0.001720396,-0.0074927807,-0.001204866,0.008547592,-0.00022204172,0.0048819296
0.07,-0.0019876757,-0.008633861,-0.0013731316,0.009852538,-0.00023979675,0.005625819
0.08,-0.0022623271,-0.009796996,-0.0015388259,0.011183721,-0.00025443404,0.006384495
0.09,-0.002546133,-0.010993482,-0.001704686,0.01255427,-0.00026576713,0.0071649617
