Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
0,0,0,0,0,0,0
0.02,-0.00012576024,2.4381645e-06,-0.00022291752,4.1907257e-05,6.9450194e-05,0.00028020728
0.03,-0.00028707617,-4.832352e-06,-0.00054361817,0.00014949858,0.0001292632,0.0005653008
0.04,-0.0004246593,-1.06123925e-05,-0.0008117886,0.00023672656,0.00018215916,0.0008075001
0.05,-0.0005605294,-1.6242251e-05,-0.0010726006,0.00032015643,0.00023567033,0.0010439919
0.06,-0.0006821374,-2.1326498e-05,-0.0013028668,0.00039313876,0.0002845254,0.0012526095
0.07,-0.0007959188,-2.615933e-05,-0.0015165872,0.00046024882,0.00033118855,0.001445784
0.08,-0.00091382774,-3.128597e-05,-0.0017366158,0.0005287948,0.0003804481,0.0016438199
0.09,-0.0010396692,-3.7254125e-05,-0.0019699128,0.0006029259,0.00043193944,0.0018481745
